ABV,X,Y
ANC,"2,563,524","2,525,893"
FAI,"538,881","493,443"
JNU,"420,442","403,538"
BET,"155,791","158,824"
KTN,"127,881","124,747"
ENA,"92,485","97,820"
SIT,"83,404","81,019"
ADQ,"79,682","81,970"
OTZ,"64,481","66,503"
OME,"60,655","59,929"
SCC,"51,205","77,152"
BRW,"45,300","47,676"
5KE,"44,372","38,946"
HOM,"44,117","40,770"
AKN,"36,717","35,693"
DLG,"33,616","26,949"
DUT,"31,055","31,753"
LHD,"23,382","20,586"
PSG,"21,896","20,477"
MRI,"19,144","15,091"
CDV,"18,649","16,997"
UNK,"16,948","15,927"
ANI,"13,688","13,771"
KSM,"12,851","13,192"
VDZ,"12,631","14,153"
WRG,"12,569","12,588"
GST,"11,438","11,189"
DGG,"10,844","10,558"
YAK,"10,756","10,230"
AKW,"10,628","9,966"
GAL,"10,532","10,703"
HNS,"8,936","8,945"
HNH,"8,809","10,050"
SGY,"8,714","8,239"
ENM,"8,072","7,597"
CDB,"7,403","7,019"
MBA,"7,293",566
CXF,"7,203","2,894"
AQH,"7,012","8,543"
5Z9,"6,634","5,889"
FYU,"6,552","6,691"
ILI,"5,835","5,865"
IIK,"5,747","6,475"
VAK,"5,654","6,455"
HPB,"5,635","6,288"
PHO,"5,338","4,974"
OOK,"5,316","6,148"
WLK,"5,011","5,376"
WTK,"4,681","4,392"
SCM,"4,513","4,902"
CFK,"4,456","5,018"
BVK,"4,198","4,063"
SVA,"4,197","3,690"
Z09,"4,190","4,109"
MOU,"4,159","4,692"
SDP,"4,146","4,146"
SOV,"4,133","3,926"
0AK,"4,127","3,727"
D76,"4,004","4,423"
DUY,"3,978","4,298"
AWI,"3,932","3,989"
TPO,"3,884","3,581"
A61,"3,875","4,007"
GGV,"3,870","3,794"
GAM,"3,860","3,309"
KWT,"3,706","3,429"
16A,"3,628","3,449"
2A9,"3,531","4,484"
AKP,"3,522","3,402"
SHH,"3,445","3,366"
KVL,"3,421","3,433"
EEK,"3,406","3,832"
EDF,"3,236","1,991"
MCG,"3,236","2,877"
KAE,"3,227","2,273"
MDM,"3,194","3,179"
KLG,"3,142","3,292"
BTI,"3,136","2,882"
IAN,"3,127","3,276"
Z13,"3,045","3,279"
TAL,"2,952","2,997"
EWU,"2,936","3,406"
AUK,"2,854","3,845"
SNP,"2,838","2,778"
HLA,"2,728","2,936"
4A2,"2,706","2,684"
NUL,"2,694","2,289"
2A3,"2,649","2,519"
TLT,"2,634","2,572"
CGA,"2,581","2,573"
WBB,"2,571","2,710"
MTM,"2,527","2,880"
SMK,"2,464","2,470"
RSH,"2,445","2,482"
KKA,"2,440","2,375"
ELI,"2,354","2,408"
4KA,"2,352","2,963"
KTB,"2,351","2,377"
KTS,"2,301","2,392"
2C7,"2,299","2,454"
SHG,"2,217","2,058"
ATK,"2,215","2,288"
AKI,"2,173","2,173"
AGN,"2,152","2,189"
ADK,"2,151","2,084"
AQT,"2,147","2,737"
AFM,"2,095","2,167"
VEE,"2,059","2,130"
PGM,"2,010","1,926"
UUO,"2,000",0
IGT,"1,973","2,670"
KEB,"1,962","2,231"
GLV,"1,917","1,790"
ARC,"1,885","1,591"
PKA,"1,884","1,769"
6A8,"1,827","1,724"
EIL,"1,794","4,317"
PIZ,"1,774","1,733"
RBY,"1,751","2,301"
TYE,"1,745","1,892"
LKK,"1,644","1,640"
BTT,"1,639","1,483"
7AK,"1,636","1,399"
WMO,"1,636","1,609"
WNA,"1,612","1,839"
KVC,"1,597","1,416"
TER,"1,506","1,221"
MYU,"1,477","1,357"
5NN,"1,468","1,528"
KAL,"1,420","1,510"
KWF,"1,383","1,175"
TOG,"1,324",995
SXP,"1,286","1,692"
6R7,"1,285","2,122"
DEE,"1,263","1,389"
GNU,"1,246","1,415"
BLG,"1,231","1,370"
IWK,"1,187","1,248"
OBU,"1,180","1,167"
HCA,"1,176","1,187"
ORI,"1,114","1,359"
HYL,"1,103",947
HUS,"1,101",997
PEC,"1,084","1,164"
EII,974,975
KYU,933,935
KNW,927,421
4K5,922,"1,610"
63A,900,0
9K2,884,882
KGX,869,774
PTH,828,867
ANV,824,822
GBH,777,636
WBQ,767,701
CIK,744,689
TKE,728,864
PPC,724,748
JZZ,687,393
AJC,663,207
PEV,636,302
SHX,622,648
IGG,612,825
ELV,608,593
4K0,570,523
RMP,561,432
EXI,539,149
EAA,523,468
PBV,519,441
PTU,509,696
PNP,499,517
KCL,492,421
OUL,453,364
6K8,419,382
CLP,405,420
AKK,399,787
KEK,388,152
CJX,374,429
AKA,357,315
KFP,357,320
FSP,336,228
Z78,317,259
KYK,286,247
SLQ,278,272
SVS,274,291
9A3,266,269
A79,261,252
Z91,261,259
CRC,252,265
FBK,251,"2,028"
TCT,240,176
9Z8,218,321
1AK3,199,217
MHM,185,165
84K,184,125
51Z,158,134
DCK,156,44
IKO,154,196
LUR,154,138
4Z7,146,119
9A8,134,127
ALZ,129,110
CZF,113,66
SKW,107,101
A63,104,107
MLY,104,101
TNC,100,102
CZN,97,93
WSN,91,141
96Z,88,126
KCC,86,58
KXA,85,106
SRV,85,86
HRR,83,36
UTO,79,105
19P,76,46
EHM,76,85
KWP,74,63
UMT,73,42
TLJ,61,18
PAQ,47,110
RDV,44,51
KKB,43,53
SXQ,39,41
5NK,38,67
GSZ,38,44
KPR,38,43
L20,36,24
2AK,27,34
AK81,26,31
ENN,26,24
ZNC,25,2
KPB,23,24
2AK6,21,34
A43,21,0
AK75,20,10
5AK0,19,19
IYS,17,22
KMY,17,4
CKX,16,20
HYG,16,19
KPY,16,11
AHP,14,355
WCR,14,17
CEM,13,9
KOY,13,20
WSJ,13,17
2K5,9,12
MDO,5,0
57A,2,0
7KA,2,7
CXC,2,2
KBE,2,0
SWD,2,35
76AK,1,19
KPC,1,10
BHM,"1,304,467","1,325,897"
HSV,"527,801","519,785"
MOB,"288,209","278,053"
MGM,"173,210","175,619"
DHN,"49,411","46,792"
MSL,"5,295",802
TCL,"2,081","1,706"
ANB,"1,396","1,598"
BFM,"1,152","2,410"
AUO,591,360
EKY,9,0
MDQ,8,26
JKA,7,55
DCU,6,0
CMD,2,0
CQF,2,3
EET,1,0
LIT,"958,824","958,510"
XNA,"673,810","629,905"
FSM,"83,920","84,136"
TXK,"33,565","34,881"
JBR,"4,593","4,836"
ELD,"2,544","3,919"
HOT,"1,603","2,834"
FYV,"1,190",874
HRO,"1,178","4,370"
ROG,26,56
RUE,5,0
7M1,2,0
PPG,"65,439","65,860"
FAQ,"2,887","2,436"
PHX,"20,896,265","21,351,504"
TUS,"1,594,594","1,549,253"
IWA,"705,731","666,187"
GCN,"319,206","332,050"
1G4,"128,739","147,137"
IFP,"109,334","108,888"
NYL,"74,742","79,233"
FLG,"64,578","67,419"
PGA,"17,435","19,440"
1Z1,"7,825","8,385"
SOW,"4,139","2,253"
PRC,"3,451","3,428"
SDL,828,"1,164"
DMA,565,542
FHU,245,133
0V7,142,103
L41,137,101
L25,105,0
CHD,104,360
IGM,23,173
GYR,22,13
DVT,13,28
GEU,10,10
L37,9,114
SEZ,9,28
HII,7,0
MZJ,5,0
E25,4,0
FFZ,3,21
AVQ,2,17
LAX,"39,636,042","36,351,272"
SFO,"25,707,101","24,190,560"
SAN,"10,340,164","9,985,763"
OAK,"5,934,639","5,506,687"
SJC,"5,321,603","4,822,480"
SNA,"5,217,242","4,945,209"
SMF,"4,969,366","4,714,729"
ONT,"2,104,625","2,089,801"
BUR,"2,077,892","1,973,897"
LGB,"1,386,357","1,220,937"
PSP,"995,801","947,728"
FAT,"761,298","695,008"
SBA,"329,751","316,511"
MRY,"192,136","180,605"
STS,"167,151","129,086"
SBP,"162,719","144,324"
BFL,"100,433","120,966"
SCK,"93,076","80,163"
ACV,"69,732","55,168"
RDD,"43,414","30,852"
SMX,"40,120","43,941"
MMH,"21,826","23,504"
VCV,"17,538","34,162"
RIV,"14,719","16,029"
TRK,"10,385",28
MCE,"9,426","2,000"
CEC,"8,667","4,915"
